kepid,koi_period,koi_disposition
7434875,3.336123113,"CONFIRMED"
7455287,8.01078456,"CONFIRMED"
7455287,12.07134205,"CONFIRMED"
7455287,20.99587872,"CONFIRMED"
7458762,7.41113177,"CONFIRMED"
757450,8.884922995,"CONFIRMED"
7585481,8.09888906,"CONFIRMED"
7663691,10.00653012,"CONFIRMED"
5812701,17.855221681,"CONFIRMED"
8039892,5.007316661,"CONFIRMED"
8150320,2.211116989,"CONFIRMED"
8150320,27.9541337,"CONFIRMED"
11086270,12.69104387,"CONFIRMED"
7825899,16.23947096,"CONFIRMED"
7825899,6.308201629,"CONFIRMED"
7849854,2.052349884,"CONFIRMED"
7870390,9.7704486,"CONFIRMED"
7870390,5.169804269,"CONFIRMED"
5094751,21.22261195,"CONFIRMED"
7870390,20.09017037,"CONFIRMED"
7907423,7.11373257,"CONFIRMED"
7907423,3.306551643,"CONFIRMED"
7907423,15.36845737,"CONFIRMED"
7938496,13.81020318,"CONFIRMED"
8490993,4.093578461,"CONFIRMED"
8490993,105.145959,"CONFIRMED"
8505670,10.8484518,"CONFIRMED"
8505670,6.66833241,"CONFIRMED"
8544996,4.082274889,"CONFIRMED"
8150320,42.1406089,"CONFIRMED"
8150320,4.617490562,"CONFIRMED"
8150320,10.19849255,"CONFIRMED"
8226994,7.15681552,"CONFIRMED"
8226994,17.64830851,"CONFIRMED"
8226994,4.14810719,"CONFIRMED"
8247638,16.51410989,"CONFIRMED"
8247638,30.1329298,"CONFIRMED"
8247638,4.79090809,"CONFIRMED"
11086270,31.71981013,"CONFIRMED"
8247638,99.6415962,"CONFIRMED"
8255887,4.708326451,"CONFIRMED"
8414716,5.392026903,"CONFIRMED"
9141746,6.491682808,"CONFIRMED"
9166862,3.855603916,"CONFIRMED"
11449844,38.47876629,"CONFIRMED"
8628973,3.314947362,"CONFIRMED"
8672910,39.6431552,"CONFIRMED"
8689031,21.80451611,"CONFIRMED"
8689373,10.28194593,"CONFIRMED"
8689373,18.11993039,"CONFIRMED"
8689373,3.78402867,"CONFIRMED"
8826878,5.15448142,"CONFIRMED"
8883593,5.743469797,"CONFIRMED"
9077124,3.166353562,"CONFIRMED"
9466668,3.388012244,"CONFIRMED"
9466668,5.83909761,"CONFIRMED"
9466668,1.620467654,"CONFIRMED"
9466668,10.6816951,"CONFIRMED"
9479273,6.104849417,"CONFIRMED"
8359498,3.578780566,"CONFIRMED"
9334289,5.826657508,"CONFIRMED"
9334289,12.41216347,"CONFIRMED"
9334289,18.74649011,"CONFIRMED"
9347899,20.86021229,"CONFIRMED"
9347899,42.63427848,"CONFIRMED"
9347899,87.6476068,"CONFIRMED"
9388479,9.467821474,"CONFIRMED"
9388479,0.893040969,"CONFIRMED"
11359879,4.942783419,"CONFIRMED"
9406990,20.83426731,"CONFIRMED"
9415172,9.94602357,"CONFIRMED"
9415172,1.04562195,"CONFIRMED"
9415172,5.71462396,"CONFIRMED"
3231341,8.14515981,"CONFIRMED"
3231341,18.9985279,"CONFIRMED"
3231341,4.24439049,"CONFIRMED"
7626506,28.5742692,"CONFIRMED"
10482160,7.34373964,"CONFIRMED"
8559644,224.7789355,"CONFIRMED"
3240158,7.42608123,"CONFIRMED"
3240158,15.9868932,"CONFIRMED"
3218908,18.92537246,"CONFIRMED"
10350571,31.5925809,"CONFIRMED"
10350571,17.157236,"CONFIRMED"
3749365,1.97376085,"CONFIRMED"
3632418,2.785821236,"CONFIRMED"
5809890,1.269091415,"CONFIRMED"
5809890,2.853133997,"CONFIRMED"
6131236,6.79685353,"CONFIRMED"
3218908,1.475323222,"CONFIRMED"
3218908,4.15246118,"CONFIRMED"
2837111,8.7348852,"CONFIRMED"
9032900,67.5923754,"CONFIRMED"
5956342,17.02902786,"CONFIRMED"
5956342,6.84619236,"CONFIRMED"
5956342,67.8321638,"CONFIRMED"
5956342,43.1312147,"CONFIRMED"
5956656,1.224866441,"CONFIRMED"
3109930,37.8102649,"CONFIRMED"
2854914,25.93406406,"CONFIRMED"
2854914,83.4463485,"CONFIRMED"
3116412,12.99204853,"CONFIRMED"
8394721,52.09081627,"CONFIRMED"
1161345,4.28746668,"CONFIRMED"
2854698,8.18739443,"CONFIRMED"
2854698,76.0498163,"CONFIRMED"
8559644,3.341799486,"CONFIRMED"
2849805,3.749105745,"CONFIRMED"
3114811,11.08956602,"CONFIRMED"
3554031,8.70798309,"CONFIRMED"
3554031,4.17634276,"CONFIRMED"
8394721,27.40229859,"CONFIRMED"
7295235,3.179267286,"CONFIRMED"
2302548,10.38122447,"CONFIRMED"
2302548,24.5709023,"CONFIRMED"
9818381,3.024092505,"CONFIRMED"
6060203,1.022678654,"CONFIRMED"
5880320,12.10968709,"CONFIRMED"
5880320,4.75796103,"CONFIRMED"
5880320,20.4972755,"CONFIRMED"
3859079,53.5292702,"CONFIRMED"
4061149,2.757584622,"CONFIRMED"
3444588,0.928310036,"CONFIRMED"
8394721,13.48457668,"CONFIRMED"
3962243,31.8841473,"CONFIRMED"
10154388,12.06222962,"CONFIRMED"
1432789,9.93146307,"CONFIRMED"
1718189,21.85362905,"CONFIRMED"
